"CODGEO";"LIBGEO";"P15_POPH";"P15_POPF";"DEP";"SUPERFICIE";"POPTOTALE"
"35174";"Melle";324,483327548178;331,516672451823;"35";14,98;656,000000000001
"35175";"Mernel";531,006177197043;515,993822802957;"35";16,6;1047
"35176";"Guipry-Messac";3442,51779310083;3445,48220689914;"35";93,35;6887,99999999997
"35177";"La Meziare";2329,02876897978;2314,97123102024;"35";16,47;4644,00000000002
"35178";"Meziares-sur-Couesnon";828,744023323615;855,255976676385;"35";25,48;1684
"35179";"Miniac-Morvan";1908;1973;"35";31,89;3881
"35180";"Miniac-sous-Becherel";387,660443592202;367,339556407801;"35";13,49;755,000000000003
"35181";"Le Minihic-sur-Rance";682,14409177267;737,855908227325;"35";4,05;1419,99999999999
"35183";"Mondevert";427,925117962998;383,074882037002;"35";5,12;811
"35184";"Montauban-de-Bretagne";2530,49353169478;2564,50646830522;"35";43,78;5095
"35185";"Montautour";132;129;"35";6,66;261
"35186";"Mont-Dol";549,323576418129;571,67642358187;"35";26,52;1121
"35187";"Monterfil";668;637;"35";16,96;1305
"35188";"Montfort-sur-Meu";3196,08404350215;3359,91595649786;"35";14,43;6556,00000000001
"35189";"Montgermont";1614,61906937428;1668,38093062573;"35";4,22;3283,00000000001
"35190";"Monthault";137;134;"35";8,13;271
"35191";"Les Portes du Coglais";1202,74817766175;1156,25182233825;"35";40,57;2359
"35192";"Montreuil-des-Landes";125,496977026364;121,503022973636;"35";9,13;247
"35193";"Montreuil-le-Gast";966,486053719008;960,513946280991;"35";9,3;1927
"35194";"Montreuil-sous-Perouse";525,541176470589;497,458823529413;"35";16,06;1023
"35195";"Montreuil-sur-Ille";1137,52155875961;1151,47844124039;"35";15,29;2289
"35196";"Mordelles";3525,54190641851;3749,45809358149;"35";30,37;7275
"35197";"Mouaze";713,332282471626;681,667717528373;"35";8,39;1395
"35198";"Moulins";363,499489013431;345,500510986569;"35";15,06;709
"35199";"Mousse";153,321428571429;170,678571428571;"35";3,69;324
"35200";"Moutiers";478,048128342248;462,951871657756;"35";17,57;941,000000000004
"35201";"Muel";479,131346129472;425,868653870527;"35";28,91;904,999999999999
"35202";"La Noe-Blanche";502,366935483871;478,633064516129;"35";22,89;981
"35203";"La Nouaye";182,472622478387;183,527377521615;"35";2,44;366,000000000002
"35204";"Nouvoitou";1442,81012995093;1489,18987004907;"35";19,13;2932
"35205";"Noyal-sous-Bazouges";203,364947840253;187,635052159747;"35";15,22;391
"35206";"Noyal-Chatillon-sur-Seiche";3364,2040437462;3546,7959562538;"35";26,62;6911
"35207";"Noyal-sur-Vilaine";2865,0385399614;2954,96146003861;"35";32,3;5820,00000000001
"35208";"Orgares";2096,06185777695;2161,93814222305;"35";17,23;4258
"35210";"Pace";5586,76751210933;5944,23248789068;"35";35,54;11531
"35211";"Paimpont";811,778526501673;860,221473498328;"35";109,67;1672
"35212";"Pance";597,250213492741;558,749786507259;"35";19,61;1156
"35214";"Parce";335,851122022203;315,148877977798;"35";17,43;651,000000000001
"35215";"Parigne";661,815685349595;660,1843146504;"35";19,9;1321,99999999999
"35216";"Parthenay-de-Bretagne";827;825;"35";5,08;1652
"35217";"Le Pertre";698,649242098259;691,350757901742;"35";43,52;1390
"35218";"Le Petit-Fougeray";451;444;"35";8,99;895
"35219";"Pipriac";1838;1861;"35";49,16;3699
"35220";"Pire-sur-Seiche";1278;1245;"35";36,27;2523
"35221";"Plechatel";1370,21513662656;1345,78486337345;"35";36,03;2716,00000000001
"35222";"Pleine-Fougares";929,236759583678;1037,76324041632;"35";33,24;1967
"35223";"Plelan-le-Grand";1886;1966;"35";50,02;3852
"35224";"Plerguer";1282,16190573616;1312,83809426384;"35";20,31;2595
"35225";"Plesder";402,156799251813;380,843200748185;"35";11,25;782,999999999998
"35226";"Pleugueneuc";907,205347593583;930,794652406417;"35";25,21;1838
"35227";"Pleumeleuc";1601,15474006116;1622,84525993884;"35";19,69;3224
"35228";"Pleurtuit";3101,09193626616;3526,90806373384;"35";29,21;6628
"35229";"Poce-les-Bois";657,80305870597;615,196941294027;"35";14,95;1273
"35230";"Poilley";200,760226396961;186,239773603039;"35";11,09;387
"35231";"Poligne";606,447945373673;575,552054626328;"35";9,45;1182
"35232";"Prince";190;184;"35";12,72;374
"35233";"Quebriac";802,571623149391;784,428376850612;"35";20,41;1587
"35234";"Quedillac";584,670642118945;600,329357881055;"35";26,52;1185
"35235";"Rannee";565,331646175767;544,668353824233;"35";53,19;1110
"35236";"Redon";4178,80900518288;4735,19099481714;"35";15,42;8914,00000000002
"35237";"Renac";480,876189050317;496,123810949683;"35";25,94;977
"35238";"Rennes";101904,730659135;113461,269340865;"35";51,45;215366
"35239";"Retiers";2147,89219283263;2119,10780716738;"35";42,1;4267,00000000001
"35240";"Le Rheu";4110,89002663925;4254,10997336076;"35";19,15;8365,00000000001
"35241";"La Richardais";1099,68840244224;1170,31159755775;"35";2,85;2269,99999999999
"35242";"Rimou";157,552291119644;177,447708880356;"35";13,91;335
"35243";"Romagne";1205,18355002858;1145,81644997142;"35";26,81;2351
"35244";"Romazy";143,4046692607;129,595330739299;"35";7,36;272,999999999999
"35245";"Romille";1951,15242790492;1926,84757209508;"35";28,56;3878
"35246";"Roz-Landrieux";682,468656716418;654,531343283582;"35";18,28;1337
"35247";"Roz-sur-Couesnon";488,13118242593;531,868817574071;"35";26,37;1020
"35248";"Sains";243,1812436342;252,818756365799;"35";10,29;495,999999999999
"35249";"Sainte-Anne-sur-Vilaine";497,470248984424;493,529751015577;"35";28,87;991,000000000001
"35250";"Saint-Armel";887,1814025843;957,8185974157;"35";7,66;1845
"35251";"'Saint-Aubin-d''Aubigne'";1754,85778300211;1830,14221699789;"35";23,35;3585
"35252";"Saint-Aubin-des-Landes";465;472;"35";10,61;937
"35253";"Saint-Aubin-du-Cormier";1958,87436119304;1773,12563880696;"35";27,94;3732
"35255";"Saint-Benoit-des-Ondes";486,679920477139;533,320079522865;"35";2,87;1020
"35256";"Saint-Briac-sur-Mer";947,417667320723;1043,58233267928;"35";8,13;1991
"35257";"Maen Roch";2267,48705983498;2451,51294016502;"35";39,66;4719
"35258";"Saint-Brieuc-des-Iffs";174,135909708008;165,864090291992;"35";8,39;340
"35259";"Saint-Broladre";542,952213272585;580,047786727417;"35";24,55;1123
"35260";"Saint-Christophe-des-Bois";296,635081620626;302,364918379375;"35";8,7;599,000000000001
"35261";"Saint-Christophe-de-Valains";109,497716894977;110,502283105023;"35";3,02;220
"35262";"Sainte-Colombe";171,202279202279;160,797720797721;"35";7,52;332
"35263";"Saint-Coulomb";1290,27673896784;1363,72326103216;"35";18,36;2654
"35264";"Saint-Didier";1042;948;"35";14,05;1990
"35265";"Saint-Domineuc";1230,98779395295;1268,01220604705;"35";16,21;2499
"35266";"Saint-Erblon";1436;1443;"35";10,84;2879
"35268";"Saint-Ganton";217,914691943128;200,085308056872;"35";14,54;418
"35269";"Saint-Georges-de-Chesne";341,700509619616;365,299490380384;"35";12,14;707
"35270";"Saint-Georges-de-Grehaigne";202,782577969895;172,217422030106;"35";12,23;375,000000000001
"35271";"Saint-Georges-de-Reintembault";749,694479347315;806,305520652682;"35";31,75;1556
"35272";"Saint-Germain-du-Pinel";453;460;"35";11,31;913
"35273";"Saint-Germain-en-Coglas";1030,70396840675;1013,29603159324;"35";33,21;2043,99999999999
"35274";"Saint-Germain-sur-Ille";472,276258277166;434,723741722834;"35";3,45;907
"35275";"Saint-Gilles";2194,35067571395;2252,64932428605;"35";20,87;4447
"35276";"Saint-Gondran";265,009310986965;269,990689013035;"35";4,32;535
"35277";"Saint-Gonlay";167,992553945703;173,007446054296;"35";8,95;340,999999999999
"35278";"Saint-Gregoire";4599,96680751029;4776,03319248971;"35";17,13;9376
"35279";"Saint-Guinoux";574;576;"35";6,34;1150
"35280";"Saint-Hilaire-des-Landes";522,142410613635;509,857589386366;"35";18,42;1032
"35281";"Saint-Jacques-de-la-Lande";6064,72936603217;6522,27063396783;"35";12,12;12587
"35282";"Saint-Jean-sur-Couesnon";600,788855547405;548,211144452594;"35";18,48;1149
"35283";"Saint-Jean-sur-Vilaine";570;569;"35";10,66;1139
"35284";"Saint-Jouan-des-Guerets";1259,26968329098;1325,73031670902;"35";9,59;2585
"35285";"Saint-Just";523,353072522742;557,64692747726;"35";27,82;1081
"35286";"Saint-Leger-des-Pres";132,060728744939;116,93927125506;"35";5,64;248,999999999999
"35287";"Saint-Lunaire";1085,73602160086;1190,26397839915;"35";10,36;2276,00000000001
"35288";"Saint-Malo";20743,1576396882;24975,8423603118;"35";36,68;45719
"35289";"Saint-Malo-de-Phily";565,519513417698;525,480486582303;"35";18,53;1091
"35290";"Saint-Malon-sur-Mel";302,600643082859;288,399356917142;"35";16,35;591,000000000001
"35291";"Saint-Marcan";228,416714941919;225,583285058081;"35";7,28;454
"35292";"Saint-Marc-le-Blanc";692;684;"35";17,51;1376
"35293";"Saint-Marc-sur-Couesnon";284,993006993007;283,006993006993;"35";12,21;568
"35294";"Sainte-Marie";1125;1134;"35";24,49;2259
"35295";"Saint-Maugan";279,4587178708;279,541282129201;"35";8,3;559,000000000001
"35296";"Saint-Medard-sur-Ille";660,905207397616;666,094792602383;"35";18,21;1327
"35297";"Saint-Meen-le-Grand";2132;2478;"35";18,17;4610
"35299";"Saint-Meloir-des-Ondes";1948;2066;"35";28,83;4014
"35300";"'Saint-M''Herve'";680,62074072697;694,379259273029;"35";31,17;1375
"35301";"'Saint-M''Hervon'";285,115398514604;271,884601485397;"35";2,08;557,000000000001
"35302";"Saint-Onen-la-Chapelle";613,736185559618;577,263814440382;"35";25,52;1191
"35303";"Saint-Ouen-la-Rouerie";415;407;"35";21,48;822
"35304";"Saint-Ouen-des-Alleux";666;627;"35";15,26;1293
"35305";"Saint-Peran";195,93164556962;205,068354430379;"35";9,27;400,999999999999
"35306";"Saint-Pare";1129,53494724624;1144,46505275376;"35";19,12;2274
"35307";"Saint-Pern";475,120387693467;542,879612306534;"35";12,1;1018
"35308";"Saint-Pierre-de-Plesguen";1421,63948272125;1424,36051727875;"35";29,47;2846
"35309";"Saint-Remy-du-Plain";404,913043478259;429,086956521737;"35";14,58;833,999999999996
"35310";"Saint-Sauveur-des-Landes";760,724419151438;752,275580848567;"35";19,28;1513,00000000001
"35311";"Saint-Seglin";263,965270586239;282,034729413761;"35";9,31;546
"35312";"Saint-Senoux";926,550751884921;895,449248115081;"35";18,39;1822
"35314";"Saint-Suliac";470;455;"35";4,84;925
"35315";"Saint-Sulpice-la-Foret";677,727342549924;661,272657450077;"35";6,46;1339
"35316";"Saint-Sulpice-des-Landes";415,129168937779;376,870831062221;"35";11,11;792
"35317";"Saint-Symphorien";338,539074134033;299,460925865964;"35";7,98;637,999999999997
"35318";"Saint-Thual";440,87836454539;424,121635454609;"35";11,87;864,999999999999
"35319";"Saint-Thurial";1042,87453159584;1041,12546840416;"35";18,04;2084
"35320";"Saint-Uniac";268,434456928839;258,565543071161;"35";6,73;527
"35321";"Saulniares";391,327296248383;344,672703751617;"35";10,72;736
"35322";"Le Sel-de-Bretagne";557;534;"35";8,76;1091
"35324";"La Selle-en-Luitre";311,824393581632;270,175606418367;"35";8,32;581,999999999999
"35325";"La Selle-Guerchaise";82,543993261493;74,4560067385073;"35";2,17;157
"35326";"Sens-de-Bretagne";1226,54671658122;1317,45328341877;"35";30,75;2543,99999999999
"35327";"Servon-sur-Vilaine";1836,23233637268;1742,76766362732;"35";15,71;3579
"35328";"Sixt-sur-Aff";1047,41075703441;1049,58924296559;"35";43,87;2097
"35329";"Sougeal";322,245614035088;317,754385964912;"35";14,11;640
"35330";"Taillis";514,585414585415;495,414585414586;"35";12,85;1010
"35331";"Talensac";1211,27887922886;1274,72112077114;"35";21,65;2486
"35332";"Teillay";535,49481621112;536,505183788877;"35";26,75;1072
"35333";"Le Theil-de-Bretagne";917,203243477821;858,796756522178;"35";24,67;1776
"35334";"Thorigne-Fouillard";4171,57805783023;4209,42194216975;"35";13,49;8380,99999999998
"35335";"Thourie";397;386;"35";24,37;783
"35336";"Le Tiercent";79,5739644970414;84,4260355029586;"35";3,78;164
"35337";"Tinteniac";1705,11060728346;1764,88939271654;"35";23,32;3470
"35338";"Torce";626;564;"35";14,38;1190
"35339";"Trans-la-Foret";277,703071672355;291,296928327645;"35";15,06;569
"35340";"Treffendel";638,035003977727;626,964996022277;"35";19,32;1265
"35341";"Tremblay";797,714043204797;768,285956795206;"35";36,56;1566
"35342";"Tremeheuc";173,01739353837;172,98260646163;"35";6,41;346
"35343";"Tresboeuf";655,939419872928;615,060580127074;"35";24,81;1271
"35344";"Tresse";196,186567164179;184,813432835821;"35";5,45;381
"35345";"Treverien";447,013574660634;440,986425339367;"35";12,1;888,000000000001
"35346";"Trimer";99;105;"35";3,49;204
"35347";"'Val-d''Ize'";1347;1241;"35";46,14;2588
"35348";"Vendel";195,824383582228;192,175616417772;"35";6,34;388
"35350";"Vergeal";402,465174129353;394,534825870647;"35";11,07;797
"35351";"Le Verger";729,000054800278;715,999945199721;"35";7,44;1445
"35352";"Vern-sur-Seiche";3875;3996;"35";19,81;7871
"35353";"Vezin-le-Coquet";3035,62322465733;2365,37677534267;"35";7,6;5401
"35354";"Vieux-Viel";159,110044411601;161,889955588399;"35";9,11;321
"35355";"Vieux-Vy-sur-Couesnon";587,425986842106;583,574013157895;"35";21,73;1171
"35356";"Vignoc";934,304864864865;896,695135135135;"35";13,99;1831
"35357";"Villamee";169,893975995323;145,106024004677;"35";11,31;315
"35358";"La Ville-as-Nonais";601,11508368018;564,884916319823;"35";4,27;1166
"35359";"Visseiche";393,200486026731;407,799513973268;"35";15,97;800,999999999999
"35360";"Vitre";8660,53775563038;9137,46224436963;"35";38,64;17798
"35361";"Le Vivier-sur-Mer";506;543;"35";2,06;1049
"35362";"Le Tronchet";568,380886881893;587,61911311811;"35";11,13;1156
"35363";"Pont-Pean";2076;2052;"35";8,74;4128
